"Sales"	"SqFt"	"Inv"	"Adv"	"Pop"	"MedInc"
"1"	268.8	3.3	219.33	15	21.2	45.5
"2"	246.3	5	216.51	6.2	22.4	41.7
"3"	216.9	4.7	233.25	6.6	19.3	43.1
"4"	233.3	2.5	238.47	14.7	16	46.1
"5"	265.7	4.7	209.58	13.7	19.7	39.4
"6"	253.2	4.1	234.87	11.9	22.6	44.3
"7"	224.4	4.3	233.43	5.5	18	46.5
"8"	251.6	2.2	242.88	8.7	22.2	43.9
"9"	247.1	3.9	239.82	7.6	18.2	46.7
"10"	258.1	4.2	234.3	10.8	21.3	48.1
"11"	223.1	2.7	210.33	5.7	20.6	43.5
"12"	266.5	3.2	215.52	12.7	23.9	49.5
"13"	293.4	4.3	215.13	6.9	24.4	44.9
"14"	258.8	4.7	210.63	9.1	23.6	43.1
"15"	211.4	2.9	198.03	14.7	18.1	43.1
"16"	195.2	2.4	208.23	7.1	20.7	40.6
"17"	221.2	3.8	216.09	12.3	18.3	43.6
"18"	219.5	4	245.73	13.2	17.7	45.4
"19"	211.7	3.2	232.56	6	20.1	43.8
"20"	233.8	4.6	184.68	10.9	23.2	41.5
"21"	190	4.2	198.27	12.3	17.8	40.2
"22"	265.6	2.6	212.52	6.6	21	45.7
"23"	240.5	4.4	237	10.9	20.9	45.1
"24"	246.8	4	225.42	5.4	23.7	42.4
"25"	202.1	3.6	225.75	8	16.2	45.8
"26"	204.8	4.3	214.5	7.7	24.3	51.4
"27"	195.2	3.4	198.81	9.8	15.3	39.7
"28"	262.3	3.6	250.89	6.2	19.9	53.1
"29"	263.8	3	236.34	14.9	19	42.9
"30"	192.9	3.4	216.33	5.5	16.7	46.2
"31"	242.4	2.7	225.66	6.5	16.8	50.6
"32"	207.5	4.2	209.85	8.4	17.2	44.2
"33"	189.8	4.1	205.8	5.1	22.6	46.7
"34"	266.7	2.2	220.98	9.9	24.7	47.2
"35"	219.3	2.7	203.31	9	19.9	40.9
"36"	251	2.1	190.53	5.4	22	42.6
"37"	273.2	4.2	218.19	5.7	19.9	40.6
"38"	251.4	2.8	246.21	10.7	19.4	51.1
"39"	216.8	4.2	214.59	12.6	19.2	44.7
"40"	218.2	3.5	238.62	11.1	18.1	50
"41"	241.8	3.1	228.66	7.4	17	44.6
"42"	261.6	3.9	244.11	12.5	22.6	46
"43"	263	4.4	233.64	9.8	20.8	47.1
"44"	272.4	2.9	202.74	8.9	24.1	43.1
"45"	287.1	2.8	204.57	14.8	23.2	43.9
"46"	284.9	3.2	227.97	9.9	23.8	49.1
"47"	261.7	3.1	211.26	7.5	22.9	42
"48"	269.6	4.7	215.22	8.2	20.7	43.3
"49"	231.9	2.4	224.13	11.3	20.4	47.4
"50"	239	3.7	218.16	6	16.9	45.5
"51"	235.5	4	186.48	7.5	20.2	44.5
"52"	178.1	2.5	217.44	6.2	17.9	46.3
"53"	210.5	3.6	217.92	13.3	15.4	45.9
"54"	274.1	2.2	245.76	11	21.7	48.9
"55"	223.9	4.7	209.55	13.9	23.9	45.4
"56"	263.8	3.2	235.44	7.3	24	50.4
"57"	242.5	4.5	243.48	12.4	22.1	44.7
"58"	244.7	3.8	231.66	5.3	19.1	44.6
"59"	246.4	5	234.36	13.3	23	50.5
"60"	266	4.4	215.76	12.4	24.7	45.9
"61"	228.1	4.9	233.22	13.2	22.7	45.5
"62"	199	3.5	230.58	10.1	15	42.5
"63"	273.5	2.4	219.87	8.6	20.4	46.1
"64"	180.2	3.4	210.39	9.1	18.4	41.8
"65"	189	4.3	238.8	10.2	19.9	46.8
"66"	250.5	5	232.8	9.2	15.3	45.1
"67"	276.7	2.5	249.54	13.1	16.6	50.7
"68"	235.7	3.1	219.12	13.5	21.4	43.5
"69"	245.3	2.9	186.81	12.5	23.1	38.5
"70"	224.5	3.3	225.63	6.2	23.2	45
"71"	241.2	4.9	208.41	9.9	20	40.1
"72"	247.6	4.7	244.26	10.8	19.7	47.6
"73"	239	4.8	227.07	8.9	20.6	45.9
"74"	253	4.1	208.05	7.6	17.4	45.5
"75"	170.4	4.7	222.06	5.8	17.3	42.1
"76"	221.5	4.8	197.13	6.3	23.9	42.7
"77"	249.5	2.9	230.07	14.6	23	44
"78"	240.9	2.6	230.04	11	20	44.3
"79"	239.4	2.5	217.05	11.8	20.3	45.3
"80"	253.7	3.3	221.79	8.9	17.3	49.7
"81"	242.9	2.5	247.92	6	24.2	45.8
"82"	166.3	4.3	189.06	6	15.8	39.3
"83"	233.7	2.2	217.41	7.8	19.5	44.2
"84"	246.3	2.8	235.89	11.5	23.2	48.4
"85"	205	2.6	170.25	8.5	16.7	37.9
"86"	274.9	3.8	225.27	13.5	22	45.5
"87"	211.6	4.3	205.95	11.3	15.7	43.2
"88"	273	3.9	195.15	8.6	21.4	43.7
"89"	232.4	2.1	230.85	7.6	18.9	48.9
"90"	287.5	2.7	238.77	13.3	24.5	53.8
"91"	229.3	4.5	229.95	13.3	24.2	49.7
"92"	312.1	4.4	212.76	13.7	24	47.5
"93"	223.7	2.8	194.25	8.8	23.1	38.9
"94"	236.3	2.7	215.43	9.8	19.8	43.1
"95"	242.6	3.5	228.09	4.9	19.6	47.5
"96"	246.1	3.4	219.42	5.6	23.5	48.9
"97"	196.8	3.3	234.12	14.2	18.4	44
"98"	208.6	3.2	205.2	14.9	15.5	40.8
"99"	257.8	4	246.9	10.8	21.2	46
"100"	207.9	3.3	215.76	5.4	18.9	46.8
"101"	247.6	4.2	226.71	10	18.1	46.5
"102"	220.1	2.4	227.19	12.4	18.8	48.4
"103"	275.3	2	240.33	12.7	22.4	46.1
"104"	240.1	3.1	208.14	5.7	21.3	42.1
"105"	182.4	4.2	248.97	8.3	18.7	48.8
"106"	315.8	3.3	224.34	13.9	21.2	47.3
"107"	241.4	2.5	233.7	6.9	19.8	46
"108"	236.2	3.3	211.17	9.3	23.1	44.3
"109"	282.8	3.8	206.49	9.8	22.3	46.3
"110"	249	5	221.04	10.5	23.1	46.4
"111"	175.1	4.5	221.67	5.9	20	42.2
"112"	218.5	3.3	223.74	12.9	19.8	46.8
"113"	230.9	2.3	218.85	4.9	18	44.6
"114"	232	4.5	219.48	9.8	21.7	44.9
"115"	234.7	3.5	216.15	5.3	19.3	46.3
"116"	251.8	4.8	212.58	4.8	20.9	43.2
"117"	251.8	4.8	192.93	14.2	22.6	40.7
"118"	215.5	3.6	222.99	13.1	18.2	45.6
"119"	276.2	4	229.8	8.3	22.6	47.4
"120"	284.4	4.5	210.81	5.8	23.1	43.3
"121"	187.9	4.5	214.95	9.6	15.6	42.9
"122"	260.2	2.6	220.11	14.7	20.5	45.2
"123"	220.3	3.1	240.87	4.9	22.2	49.1
"124"	243.8	3.4	246.69	4.8	20.3	46.3
"125"	262.8	4.1	248.79	9	24.9	46.4
"126"	216.9	3.1	210.6	12.3	16.1	44.4
"127"	224.2	4.1	236.1	11	16.4	46.9
